code,year,community
ARG,1963,pact:ARG
AUS,1963,pact:ARG
BOL,1963,pact:ARG
BRA,1963,pact:ARG
CHL,1963,pact:ARG
COL,1963,pact:ARG
CRI,1963,pact:ARG
DOM,1963,pact:ARG
ECU,1963,pact:ARG
GTM,1963,pact:ARG
HND,1963,pact:ARG
HTI,1963,pact:ARG
JPN,1963,pact:ARG
KOR,1963,pact:ARG
MEX,1963,pact:ARG
NIC,1963,pact:ARG
NZL,1963,pact:ARG
PAK,1963,pact:ARG
PAN,1963,pact:ARG
PER,1963,pact:ARG
PHL,1963,pact:ARG
PRY,1963,pact:ARG
SLV,1963,pact:ARG
TWN,1963,pact:ARG
URY,1963,pact:ARG
USA,1963,pact:ARG
VEN,1963,pact:ARG
BEL,1963,pact:BEL
CAN,1963,pact:BEL
CYP,1963,pact:BEL
DNK,1963,pact:BEL
FRA,1963,pact:BEL
GBR,1963,pact:BEL
GER,1963,pact:BEL
GRC,1963,pact:BEL
ISL,1963,pact:BEL
ITA,1963,pact:BEL
LUX,1963,pact:BEL
MYS,1963,pact:BEL
NLD,1963,pact:BEL
NOR,1963,pact:BEL
PRT,1963,pact:BEL
TUR,1963,pact:BEL
YUG,1963,pact:BEL
ARE,1963,pact:ARE
EGY,1963,pact:ARE
IRQ,1963,pact:ARE
JOR,1963,pact:ARE
KWT,1963,pact:ARE
LBN,1963,pact:ARE
LBY,1963,pact:ARE
MAR,1963,pact:ARE
SAU,1963,pact:ARE
SYR,1963,pact:ARE
TUN,1963,pact:ARE
YEM,1963,pact:ARE
ALB,1963,pact:ALB
BGR,1963,pact:ALB
CHN,1963,pact:ALB
CSK,1963,pact:ALB
DDR,1963,pact:ALB
FIN,1963,pact:ALB
HUN,1963,pact:ALB
MNG,1963,pact:ALB
POL,1963,pact:ALB
PRK,1963,pact:ALB
ROU,1963,pact:ALB
RUS,1963,pact:ALB
GHA,1963,pact:GHA
GIN,1963,pact:GHA
MLI,1963,pact:GHA
BEN,1963,pact:BEN
BFA,1963,pact:BEN
CAF,1963,pact:BEN
CIV,1963,pact:BEN
CMR,1963,pact:BEN
COG,1963,pact:BEN
GAB,1963,pact:BEN
MDG,1963,pact:BEN
MRT,1963,pact:BEN
NER,1963,pact:BEN
RWA,1963,pact:BEN
SEN,1963,pact:BEN
TCD,1963,pact:BEN
TGO,1963,pact:BEN
ETH,1963,pact:ETH
KEN,1963,pact:ETH
BEL,1964,pact:BEL
CAN,1964,pact:BEL
CYP,1964,pact:BEL
DNK,1964,pact:BEL
FRA,1964,pact:BEL
GBR,1964,pact:BEL
GER,1964,pact:BEL
GRC,1964,pact:BEL
ISL,1964,pact:BEL
ITA,1964,pact:BEL
LUX,1964,pact:BEL
MYS,1964,pact:BEL
NLD,1964,pact:BEL
NOR,1964,pact:BEL
PRT,1964,pact:BEL
TUR,1964,pact:BEL
YUG,1964,pact:BEL
ARE,1964,pact:ARE
DZA,1964,pact:ARE
EGY,1964,pact:ARE
IRQ,1964,pact:ARE
JOR,1964,pact:ARE
KWT,1964,pact:ARE
LBN,1964,pact:ARE
LBY,1964,pact:ARE
MAR,1964,pact:ARE
SAU,1964,pact:ARE
SDN,1964,pact:ARE
SYR,1964,pact:ARE
TUN,1964,pact:ARE
YEM,1964,pact:ARE
ARG,1964,pact:ARG
AUS,1964,pact:ARG
BOL,1964,pact:ARG
BRA,1964,pact:ARG
CHL,1964,pact:ARG
COL,1964,pact:ARG
CRI,1964,pact:ARG
DOM,1964,pact:ARG
ECU,1964,pact:ARG
GTM,1964,pact:ARG
HND,1964,pact:ARG
HTI,1964,pact:ARG
JPN,1964,pact:ARG
KOR,1964,pact:ARG
MEX,1964,pact:ARG
NIC,1964,pact:ARG
NZL,1964,pact:ARG
PAK,1964,pact:ARG
PAN,1964,pact:ARG
PER,1964,pact:ARG
PHL,1964,pact:ARG
PRY,1964,pact:ARG
SLV,1964,pact:ARG
TWN,1964,pact:ARG
URY,1964,pact:ARG
USA,1964,pact:ARG
VEN,1964,pact:ARG
ALB,1964,pact:ALB
BGR,1964,pact:ALB
CHN,1964,pact:ALB
CSK,1964,pact:ALB
DDR,1964,pact:ALB
FIN,1964,pact:ALB
HUN,1964,pact:ALB
MNG,1964,pact:ALB
POL,1964,pact:ALB
PRK,1964,pact:ALB
ROU,1964,pact:ALB
RUS,1964,pact:ALB
BEN,1964,pact:BEN
BFA,1964,pact:BEN
CAF,1964,pact:BEN
CIV,1964,pact:BEN
CMR,1964,pact:BEN
COG,1964,pact:BEN
GAB,1964,pact:BEN
MDG,1964,pact:BEN
MRT,1964,pact:BEN
NER,1964,pact:BEN
RWA,1964,pact:BEN
SEN,1964,pact:BEN
TCD,1964,pact:BEN
TGO,1964,pact:BEN
ETH,1964,pact:ETH
KEN,1964,pact:ETH
ARG,1965,pact:ARG
BOL,1965,pact:ARG
BRA,1965,pact:ARG
CHL,1965,pact:ARG
COL,1965,pact:ARG
CRI,1965,pact:ARG
DOM,1965,pact:ARG
ECU,1965,pact:ARG
GTM,1965,pact:ARG
HND,1965,pact:ARG
HTI,1965,pact:ARG
MEX,1965,pact:ARG
NIC,1965,pact:ARG
PAN,1965,pact:ARG
PER,1965,pact:ARG
PRY,1965,pact:ARG
SLV,1965,pact:ARG
URY,1965,pact:ARG
VEN,1965,pact:ARG
ALB,1965,pact:ALB
BGR,1965,pact:ALB
CHN,1965,pact:ALB
CSK,1965,pact:ALB
DDR,1965,pact:ALB
FIN,1965,pact:ALB
HUN,1965,pact:ALB
MNG,1965,pact:ALB
POL,1965,pact:ALB
PRK,1965,pact:ALB
ROU,1965,pact:ALB
RUS,1965,pact:ALB
ARE,1965,pact:ARE
DZA,1965,pact:ARE
EGY,1965,pact:ARE
IRQ,1965,pact:ARE
JOR,1965,pact:ARE
KWT,1965,pact:ARE
LBN,1965,pact:ARE
LBY,1965,pact:ARE
MAR,1965,pact:ARE
SAU,1965,pact:ARE
SDN,1965,pact:ARE
SYR,1965,pact:ARE
TUN,1965,pact:ARE
YEM,1965,pact:ARE
AUS,1965,pact:AUS
BEL,1965,pact:AUS
CAF,1965,pact:AUS
CAN,1965,pact:AUS
COG,1965,pact:AUS
CYP,1965,pact:AUS
DNK,1965,pact:AUS
FRA,1965,pact:AUS
GAB,1965,pact:AUS
GBR,1965,pact:AUS
GER,1965,pact:AUS
GRC,1965,pact:AUS
ISL,1965,pact:AUS
ITA,1965,pact:AUS
JPN,1965,pact:AUS
KOR,1965,pact:AUS
LUX,1965,pact:AUS
MYS,1965,pact:AUS
NLD,1965,pact:AUS
NOR,1965,pact:AUS
NZL,1965,pact:AUS
PAK,1965,pact:AUS
PHL,1965,pact:AUS
PRT,1965,pact:AUS
TCD,1965,pact:AUS
TUR,1965,pact:AUS
TWN,1965,pact:AUS
USA,1965,pact:AUS
YUG,1965,pact:AUS
ETH,1965,pact:ETH
KEN,1965,pact:ETH
ARG,1966,pact:ARG
BOL,1966,pact:ARG
BRA,1966,pact:ARG
CHL,1966,pact:ARG
COL,1966,pact:ARG
CRI,1966,pact:ARG
DOM,1966,pact:ARG
ECU,1966,pact:ARG
GTM,1966,pact:ARG
HND,1966,pact:ARG
HTI,1966,pact:ARG
MEX,1966,pact:ARG
NIC,1966,pact:ARG
PAN,1966,pact:ARG
PER,1966,pact:ARG
PRY,1966,pact:ARG
SLV,1966,pact:ARG
URY,1966,pact:ARG
VEN,1966,pact:ARG
ALB,1966,pact:ALB
BGR,1966,pact:ALB
CHN,1966,pact:ALB
CSK,1966,pact:ALB
DDR,1966,pact:ALB
FIN,1966,pact:ALB
HUN,1966,pact:ALB
MNG,1966,pact:ALB
POL,1966,pact:ALB
PRK,1966,pact:ALB
ROU,1966,pact:ALB
RUS,1966,pact:ALB
ARE,1966,pact:ARE
DZA,1966,pact:ARE
EGY,1966,pact:ARE
IRQ,1966,pact:ARE
JOR,1966,pact:ARE
KWT,1966,pact:ARE
LBN,1966,pact:ARE
LBY,1966,pact:ARE
MAR,1966,pact:ARE
SAU,1966,pact:ARE
SDN,1966,pact:ARE
SYR,1966,pact:ARE
TUN,1966,pact:ARE
YEM,1966,pact:ARE
AUS,1966,pact:AUS
BEL,1966,pact:AUS
CAF,1966,pact:AUS
CAN,1966,pact:AUS
COG,1966,pact:AUS
CYP,1966,pact:AUS
DNK,1966,pact:AUS
FRA,1966,pact:AUS
GAB,1966,pact:AUS
GBR,1966,pact:AUS
GER,1966,pact:AUS
GRC,1966,pact:AUS
ISL,1966,pact:AUS
ITA,1966,pact:AUS
JPN,1966,pact:AUS
KOR,1966,pact:AUS
LUX,1966,pact:AUS
MYS,1966,pact:AUS
NLD,1966,pact:AUS
NOR,1966,pact:AUS
NZL,1966,pact:AUS
PAK,1966,pact:AUS
PHL,1966,pact:AUS
PRT,1966,pact:AUS
TCD,1966,pact:AUS
TUR,1966,pact:AUS
TWN,1966,pact:AUS
USA,1966,pact:AUS
YUG,1966,pact:AUS
ETH,1966,pact:ETH
KEN,1966,pact:ETH
BDI,1966,pact:BDI
COD,1966,pact:BDI
RWA,1966,pact:BDI
ARG,1967,pact:ARG
BOL,1967,pact:ARG
BRA,1967,pact:ARG
BRB,1967,pact:ARG
CHL,1967,pact:ARG
COL,1967,pact:ARG
CRI,1967,pact:ARG
DOM,1967,pact:ARG
ECU,1967,pact:ARG
GTM,1967,pact:ARG
HND,1967,pact:ARG
HTI,1967,pact:ARG
MEX,1967,pact:ARG
NIC,1967,pact:ARG
PAN,1967,pact:ARG
PER,1967,pact:ARG
PRY,1967,pact:ARG
SLV,1967,pact:ARG
TTO,1967,pact:ARG
URY,1967,pact:ARG
VEN,1967,pact:ARG
ALB,1967,pact:ALB
BGR,1967,pact:ALB
CHN,1967,pact:ALB
CSK,1967,pact:ALB
DDR,1967,pact:ALB
FIN,1967,pact:ALB
HUN,1967,pact:ALB
MNG,1967,pact:ALB
POL,1967,pact:ALB
PRK,1967,pact:ALB
ROU,1967,pact:ALB
RUS,1967,pact:ALB
ARE,1967,pact:ARE
DZA,1967,pact:ARE
EGY,1967,pact:ARE
IRQ,1967,pact:ARE
JOR,1967,pact:ARE
KWT,1967,pact:ARE
LBN,1967,pact:ARE
LBY,1967,pact:ARE
MAR,1967,pact:ARE
SAU,1967,pact:ARE
SDN,1967,pact:ARE
SYR,1967,pact:ARE
TUN,1967,pact:ARE
YEM,1967,pact:ARE
AUS,1967,pact:AUS
BEL,1967,pact:AUS
CAF,1967,pact:AUS
CAN,1967,pact:AUS
COG,1967,pact:AUS
CYP,1967,pact:AUS
DNK,1967,pact:AUS
FRA,1967,pact:AUS
GAB,1967,pact:AUS
GBR,1967,pact:AUS
GER,1967,pact:AUS
GRC,1967,pact:AUS
ISL,1967,pact:AUS
ITA,1967,pact:AUS
JPN,1967,pact:AUS
KOR,1967,pact:AUS
LUX,1967,pact:AUS
MYS,1967,pact:AUS
NLD,1967,pact:AUS
NOR,1967,pact:AUS
NZL,1967,pact:AUS
PAK,1967,pact:AUS
PHL,1967,pact:AUS
PRT,1967,pact:AUS
TCD,1967,pact:AUS
TUR,1967,pact:AUS
TWN,1967,pact:AUS
USA,1967,pact:AUS
YUG,1967,pact:AUS
ETH,1967,pact:ETH
KEN,1967,pact:ETH
BDI,1967,pact:BDI
COD,1967,pact:BDI
RWA,1967,pact:BDI
ARG,1968,pact:ARG
BOL,1968,pact:ARG
BRA,1968,pact:ARG
BRB,1968,pact:ARG
CHL,1968,pact:ARG
COL,1968,pact:ARG
CRI,1968,pact:ARG
DOM,1968,pact:ARG
ECU,1968,pact:ARG
GTM,1968,pact:ARG
HND,1968,pact:ARG
HTI,1968,pact:ARG
MEX,1968,pact:ARG
NIC,1968,pact:ARG
PAN,1968,pact:ARG
PER,1968,pact:ARG
PRY,1968,pact:ARG
SLV,1968,pact:ARG
TTO,1968,pact:ARG
URY,1968,pact:ARG
VEN,1968,pact:ARG
ARE,1968,pact:ARE
DZA,1968,pact:ARE
EGY,1968,pact:ARE
IRQ,1968,pact:ARE
JOR,1968,pact:ARE
KWT,1968,pact:ARE
LBN,1968,pact:ARE
LBY,1968,pact:ARE
MAR,1968,pact:ARE
SAU,1968,pact:ARE
SDN,1968,pact:ARE
SYR,1968,pact:ARE
TUN,1968,pact:ARE
YEM,1968,pact:ARE
AUS,1968,pact:AUS
BEL,1968,pact:AUS
CAF,1968,pact:AUS
CAN,1968,pact:AUS
COG,1968,pact:AUS
CYP,1968,pact:AUS
DNK,1968,pact:AUS
FRA,1968,pact:AUS
GAB,1968,pact:AUS
GBR,1968,pact:AUS
GER,1968,pact:AUS
GRC,1968,pact:AUS
ISL,1968,pact:AUS
ITA,1968,pact:AUS
JPN,1968,pact:AUS
KOR,1968,pact:AUS
LUX,1968,pact:AUS
MYS,1968,pact:AUS
NLD,1968,pact:AUS
NOR,1968,pact:AUS
NZL,1968,pact:AUS
PAK,1968,pact:AUS
PHL,1968,pact:AUS
PRT,1968,pact:AUS
TCD,1968,pact:AUS
TUR,1968,pact:AUS
TWN,1968,pact:AUS
USA,1968,pact:AUS
ALB,1968,pact:ALB
BGR,1968,pact:ALB
CHN,1968,pact:ALB
CSK,1968,pact:ALB
DDR,1968,pact:ALB
FIN,1968,pact:ALB
HUN,1968,pact:ALB
MNG,1968,pact:ALB
POL,1968,pact:ALB
PRK,1968,pact:ALB
ROU,1968,pact:ALB
RUS,1968,pact:ALB
ETH,1968,pact:ETH
KEN,1968,pact:ETH
BDI,1968,pact:BDI
COD,1968,pact:BDI
RWA,1968,pact:BDI
AUS,1969,pact:AUS
BEL,1969,pact:AUS
CAF,1969,pact:AUS
CAN,1969,pact:AUS
COG,1969,pact:AUS
CYP,1969,pact:AUS
DNK,1969,pact:AUS
FRA,1969,pact:AUS
GAB,1969,pact:AUS
GBR,1969,pact:AUS
GER,1969,pact:AUS
GRC,1969,pact:AUS
ISL,1969,pact:AUS
ITA,1969,pact:AUS
JPN,1969,pact:AUS
KOR,1969,pact:AUS
LUX,1969,pact:AUS
MYS,1969,pact:AUS
NLD,1969,pact:AUS
NOR,1969,pact:AUS
NZL,1969,pact:AUS
PAK,1969,pact:AUS
PHL,1969,pact:AUS
PRT,1969,pact:AUS
TCD,1969,pact:AUS
TUR,1969,pact:AUS
TWN,1969,pact:AUS
USA,1969,pact:AUS
ARG,1969,pact:ARG
BOL,1969,pact:ARG
BRA,1969,pact:ARG
BRB,1969,pact:ARG
CHL,1969,pact:ARG
COL,1969,pact:ARG
CRI,1969,pact:ARG
DOM,1969,pact:ARG
ECU,1969,pact:ARG
GTM,1969,pact:ARG
HND,1969,pact:ARG
HTI,1969,pact:ARG
JAM,1969,pact:ARG
MEX,1969,pact:ARG
NIC,1969,pact:ARG
PAN,1969,pact:ARG
PER,1969,pact:ARG
PRY,1969,pact:ARG
SLV,1969,pact:ARG
TTO,1969,pact:ARG
URY,1969,pact:ARG
VEN,1969,pact:ARG
BGR,1969,pact:BGR
CHN,1969,pact:BGR
CSK,1969,pact:BGR
DDR,1969,pact:BGR
FIN,1969,pact:BGR
HUN,1969,pact:BGR
MNG,1969,pact:BGR
POL,1969,pact:BGR
PRK,1969,pact:BGR
ROU,1969,pact:BGR
RUS,1969,pact:BGR
ARE,1969,pact:ARE
DZA,1969,pact:ARE
EGY,1969,pact:ARE
IRQ,1969,pact:ARE
JOR,1969,pact:ARE
KWT,1969,pact:ARE
LBN,1969,pact:ARE
LBY,1969,pact:ARE
MAR,1969,pact:ARE
SAU,1969,pact:ARE
SDN,1969,pact:ARE
SYR,1969,pact:ARE
TUN,1969,pact:ARE
YEM,1969,pact:ARE
ETH,1969,pact:ETH
KEN,1969,pact:ETH
BDI,1969,pact:BDI
COD,1969,pact:BDI
RWA,1969,pact:BDI
AUS,1970,pact:AUS
BEL,1970,pact:AUS
CAF,1970,pact:AUS
CAN,1970,pact:AUS
COG,1970,pact:AUS
CYP,1970,pact:AUS
DNK,1970,pact:AUS
FRA,1970,pact:AUS
GAB,1970,pact:AUS
GBR,1970,pact:AUS
GER,1970,pact:AUS
GRC,1970,pact:AUS
ISL,1970,pact:AUS
ITA,1970,pact:AUS
JPN,1970,pact:AUS
KOR,1970,pact:AUS
LUX,1970,pact:AUS
MYS,1970,pact:AUS
NLD,1970,pact:AUS
NOR,1970,pact:AUS
NZL,1970,pact:AUS
PAK,1970,pact:AUS
PHL,1970,pact:AUS
PRT,1970,pact:AUS
TCD,1970,pact:AUS
TUR,1970,pact:AUS
TWN,1970,pact:AUS
USA,1970,pact:AUS
ARG,1970,pact:ARG
BOL,1970,pact:ARG
BRA,1970,pact:ARG
BRB,1970,pact:ARG
CHL,1970,pact:ARG
COL,1970,pact:ARG
CRI,1970,pact:ARG
DOM,1970,pact:ARG
ECU,1970,pact:ARG
GTM,1970,pact:ARG
HND,1970,pact:ARG
HTI,1970,pact:ARG
JAM,1970,pact:ARG
MEX,1970,pact:ARG
NIC,1970,pact:ARG
PAN,1970,pact:ARG
PER,1970,pact:ARG
PRY,1970,pact:ARG
SLV,1970,pact:ARG
TTO,1970,pact:ARG
URY,1970,pact:ARG
VEN,1970,pact:ARG
BGR,1970,pact:BGR
CHN,1970,pact:BGR
CSK,1970,pact:BGR
DDR,1970,pact:BGR
FIN,1970,pact:BGR
HUN,1970,pact:BGR
MNG,1970,pact:BGR
POL,1970,pact:BGR
PRK,1970,pact:BGR
ROU,1970,pact:BGR
RUS,1970,pact:BGR
ARE,1970,pact:ARE
DZA,1970,pact:ARE
EGY,1970,pact:ARE
IRQ,1970,pact:ARE
JOR,1970,pact:ARE
KWT,1970,pact:ARE
LBN,1970,pact:ARE
LBY,1970,pact:ARE
MAR,1970,pact:ARE
SAU,1970,pact:ARE
SDN,1970,pact:ARE
SYR,1970,pact:ARE
TUN,1970,pact:ARE
YEM,1970,pact:ARE
ETH,1970,pact:ETH
KEN,1970,pact:ETH
BDI,1970,pact:BDI
COD,1970,pact:BDI
RWA,1970,pact:BDI
AUS,1971,pact:AUS
BEL,1971,pact:AUS
CAF,1971,pact:AUS
CAN,1971,pact:AUS
COG,1971,pact:AUS
CYP,1971,pact:AUS
DNK,1971,pact:AUS
FRA,1971,pact:AUS
GAB,1971,pact:AUS
GBR,1971,pact:AUS
GER,1971,pact:AUS
GRC,1971,pact:AUS
ISL,1971,pact:AUS
ITA,1971,pact:AUS
JPN,1971,pact:AUS
KOR,1971,pact:AUS
LUX,1971,pact:AUS
MYS,1971,pact:AUS
NLD,1971,pact:AUS
NOR,1971,pact:AUS
NZL,1971,pact:AUS
PAK,1971,pact:AUS
PHL,1971,pact:AUS
PRT,1971,pact:AUS
TCD,1971,pact:AUS
TUR,1971,pact:AUS
TWN,1971,pact:AUS
USA,1971,pact:AUS
BGR,1971,pact:BGR
CHN,1971,pact:BGR
CSK,1971,pact:BGR
DDR,1971,pact:BGR
FIN,1971,pact:BGR
HUN,1971,pact:BGR
MNG,1971,pact:BGR
POL,1971,pact:BGR
PRK,1971,pact:BGR
ROU,1971,pact:BGR
RUS,1971,pact:BGR
ARG,1971,pact:ARG
BOL,1971,pact:ARG
BRA,1971,pact:ARG
BRB,1971,pact:ARG
CHL,1971,pact:ARG
COL,1971,pact:ARG
CRI,1971,pact:ARG
DOM,1971,pact:ARG
ECU,1971,pact:ARG
GTM,1971,pact:ARG
HND,1971,pact:ARG
HTI,1971,pact:ARG
JAM,1971,pact:ARG
MEX,1971,pact:ARG
NIC,1971,pact:ARG
PAN,1971,pact:ARG
PER,1971,pact:ARG
PRY,1971,pact:ARG
SLV,1971,pact:ARG
TTO,1971,pact:ARG
URY,1971,pact:ARG
VEN,1971,pact:ARG
ARE,1971,pact:ARE
BHR,1971,pact:ARE
DZA,1971,pact:ARE
EGY,1971,pact:ARE
IRQ,1971,pact:ARE
JOR,1971,pact:ARE
KWT,1971,pact:ARE
LBN,1971,pact:ARE
LBY,1971,pact:ARE
MAR,1971,pact:ARE
QAT,1971,pact:ARE
SAU,1971,pact:ARE
SDN,1971,pact:ARE
SYR,1971,pact:ARE
TUN,1971,pact:ARE
YEM,1971,pact:ARE
YMD,1971,pact:ARE
ETH,1971,pact:ETH
KEN,1971,pact:ETH
BDI,1971,pact:BDI
COD,1971,pact:BDI
RWA,1971,pact:BDI
AUS,1972,pact:AUS
BEL,1972,pact:AUS
CAF,1972,pact:AUS
CAN,1972,pact:AUS
COG,1972,pact:AUS
CYP,1972,pact:AUS
DNK,1972,pact:AUS
FRA,1972,pact:AUS
GAB,1972,pact:AUS
GBR,1972,pact:AUS
GER,1972,pact:AUS
GRC,1972,pact:AUS
ISL,1972,pact:AUS
ITA,1972,pact:AUS
JPN,1972,pact:AUS
KOR,1972,pact:AUS
LUX,1972,pact:AUS
NLD,1972,pact:AUS
NOR,1972,pact:AUS
NZL,1972,pact:AUS
PAK,1972,pact:AUS
PHL,1972,pact:AUS
PRT,1972,pact:AUS
TCD,1972,pact:AUS
TUR,1972,pact:AUS
TWN,1972,pact:AUS
USA,1972,pact:AUS
BGR,1972,pact:BGR
CHN,1972,pact:BGR
CSK,1972,pact:BGR
DDR,1972,pact:BGR
FIN,1972,pact:BGR
HUN,1972,pact:BGR
MNG,1972,pact:BGR
POL,1972,pact:BGR
PRK,1972,pact:BGR
ROU,1972,pact:BGR
RUS,1972,pact:BGR
ARG,1972,pact:ARG
BOL,1972,pact:ARG
BRA,1972,pact:ARG
BRB,1972,pact:ARG
CHL,1972,pact:ARG
COL,1972,pact:ARG
CRI,1972,pact:ARG
DOM,1972,pact:ARG
ECU,1972,pact:ARG
GTM,1972,pact:ARG
HND,1972,pact:ARG
HTI,1972,pact:ARG
JAM,1972,pact:ARG
MEX,1972,pact:ARG
NIC,1972,pact:ARG
PAN,1972,pact:ARG
PER,1972,pact:ARG
PRY,1972,pact:ARG
SLV,1972,pact:ARG
TTO,1972,pact:ARG
URY,1972,pact:ARG
VEN,1972,pact:ARG
ARE,1972,pact:ARE
BHR,1972,pact:ARE
DZA,1972,pact:ARE
EGY,1972,pact:ARE
IRQ,1972,pact:ARE
JOR,1972,pact:ARE
KWT,1972,pact:ARE
LBN,1972,pact:ARE
LBY,1972,pact:ARE
MAR,1972,pact:ARE
QAT,1972,pact:ARE
SAU,1972,pact:ARE
SDN,1972,pact:ARE
SYR,1972,pact:ARE
TUN,1972,pact:ARE
UGA,1972,pact:ARE
YEM,1972,pact:ARE
YMD,1972,pact:ARE
ETH,1972,pact:ETH
KEN,1972,pact:ETH
BDI,1972,pact:BDI
COD,1972,pact:BDI
RWA,1972,pact:BDI
AUS,1973,pact:AUS
BEL,1973,pact:AUS
CAF,1973,pact:AUS
CAN,1973,pact:AUS
COG,1973,pact:AUS
CYP,1973,pact:AUS
DNK,1973,pact:AUS
FRA,1973,pact:AUS
GAB,1973,pact:AUS
GBR,1973,pact:AUS
GER,1973,pact:AUS
GRC,1973,pact:AUS
ISL,1973,pact:AUS
ITA,1973,pact:AUS
JPN,1973,pact:AUS
KOR,1973,pact:AUS
LUX,1973,pact:AUS
NLD,1973,pact:AUS
NOR,1973,pact:AUS
NZL,1973,pact:AUS
PAK,1973,pact:AUS
PHL,1973,pact:AUS
PRT,1973,pact:AUS
TCD,1973,pact:AUS
TUR,1973,pact:AUS
TWN,1973,pact:AUS
USA,1973,pact:AUS
BGR,1973,pact:BGR
CHN,1973,pact:BGR
CSK,1973,pact:BGR
DDR,1973,pact:BGR
FIN,1973,pact:BGR
HUN,1973,pact:BGR
MNG,1973,pact:BGR
POL,1973,pact:BGR
PRK,1973,pact:BGR
ROU,1973,pact:BGR
RUS,1973,pact:BGR
ARG,1973,pact:ARG
BOL,1973,pact:ARG
BRA,1973,pact:ARG
BRB,1973,pact:ARG
CHL,1973,pact:ARG
COL,1973,pact:ARG
CRI,1973,pact:ARG
DOM,1973,pact:ARG
ECU,1973,pact:ARG
GTM,1973,pact:ARG
HND,1973,pact:ARG
HTI,1973,pact:ARG
JAM,1973,pact:ARG
MEX,1973,pact:ARG
NIC,1973,pact:ARG
PAN,1973,pact:ARG
PER,1973,pact:ARG
PRY,1973,pact:ARG
SLV,1973,pact:ARG
TTO,1973,pact:ARG
URY,1973,pact:ARG
VEN,1973,pact:ARG
ARE,1973,pact:ARE
BHR,1973,pact:ARE
DZA,1973,pact:ARE
EGY,1973,pact:ARE
IRQ,1973,pact:ARE
JOR,1973,pact:ARE
KWT,1973,pact:ARE
LBN,1973,pact:ARE
LBY,1973,pact:ARE
MAR,1973,pact:ARE
QAT,1973,pact:ARE
SAU,1973,pact:ARE
SDN,1973,pact:ARE
SYR,1973,pact:ARE
TUN,1973,pact:ARE
UGA,1973,pact:ARE
YEM,1973,pact:ARE
YMD,1973,pact:ARE
ETH,1973,pact:ETH
KEN,1973,pact:ETH
BDI,1973,pact:BDI
COD,1973,pact:BDI
RWA,1973,pact:BDI
AUS,1974,pact:AUS
BEL,1974,pact:AUS
CAF,1974,pact:AUS
CAN,1974,pact:AUS
COG,1974,pact:AUS
CYP,1974,pact:AUS
DNK,1974,pact:AUS
FRA,1974,pact:AUS
GAB,1974,pact:AUS
GBR,1974,pact:AUS
GER,1974,pact:AUS
GRC,1974,pact:AUS
ISL,1974,pact:AUS
ITA,1974,pact:AUS
JPN,1974,pact:AUS
KOR,1974,pact:AUS
LUX,1974,pact:AUS
NLD,1974,pact:AUS
NOR,1974,pact:AUS
NZL,1974,pact:AUS
PAK,1974,pact:AUS
PHL,1974,pact:AUS
PRT,1974,pact:AUS
TCD,1974,pact:AUS
TUR,1974,pact:AUS
TWN,1974,pact:AUS
USA,1974,pact:AUS
BGR,1974,pact:BGR
CHN,1974,pact:BGR
CSK,1974,pact:BGR
DDR,1974,pact:BGR
FIN,1974,pact:BGR
HUN,1974,pact:BGR
MNG,1974,pact:BGR
POL,1974,pact:BGR
PRK,1974,pact:BGR
ROU,1974,pact:BGR
RUS,1974,pact:BGR
ARG,1974,pact:ARG
BOL,1974,pact:ARG
BRA,1974,pact:ARG
BRB,1974,pact:ARG
CHL,1974,pact:ARG
COL,1974,pact:ARG
CRI,1974,pact:ARG
DOM,1974,pact:ARG
ECU,1974,pact:ARG
GTM,1974,pact:ARG
HND,1974,pact:ARG
HTI,1974,pact:ARG
JAM,1974,pact:ARG
MEX,1974,pact:ARG
NIC,1974,pact:ARG
PAN,1974,pact:ARG
PER,1974,pact:ARG
PRY,1974,pact:ARG
SLV,1974,pact:ARG
TTO,1974,pact:ARG
URY,1974,pact:ARG
VEN,1974,pact:ARG
ARE,1974,pact:ARE
BHR,1974,pact:ARE
DZA,1974,pact:ARE
EGY,1974,pact:ARE
IRQ,1974,pact:ARE
JOR,1974,pact:ARE
KWT,1974,pact:ARE
LBN,1974,pact:ARE
LBY,1974,pact:ARE
MAR,1974,pact:ARE
NER,1974,pact:ARE
QAT,1974,pact:ARE
SAU,1974,pact:ARE
SDN,1974,pact:ARE
SOM,1974,pact:ARE
SYR,1974,pact:ARE
TUN,1974,pact:ARE
UGA,1974,pact:ARE
YEM,1974,pact:ARE
YMD,1974,pact:ARE
ETH,1974,pact:ETH
KEN,1974,pact:ETH
BDI,1974,pact:BDI
COD,1974,pact:BDI
RWA,1974,pact:BDI
BGR,1975,pact:BGR
CHN,1975,pact:BGR
CSK,1975,pact:BGR
DDR,1975,pact:BGR
FIN,1975,pact:BGR
HUN,1975,pact:BGR
MNG,1975,pact:BGR
POL,1975,pact:BGR
PRK,1975,pact:BGR
ROU,1975,pact:BGR
RUS,1975,pact:BGR
ARG,1975,pact:ARG
BOL,1975,pact:ARG
BRA,1975,pact:ARG
BRB,1975,pact:ARG
CHL,1975,pact:ARG
COL,1975,pact:ARG
CRI,1975,pact:ARG
DOM,1975,pact:ARG
ECU,1975,pact:ARG
GRD,1975,pact:ARG
GTM,1975,pact:ARG
HND,1975,pact:ARG
